# k    mu    diag_Cov_Pwnw
0.0692000 0.3290000 47325.6400000
0.0692000 0.8553000 88353.3690000
0.0692700 0.1972000 22823.9590000
0.0693500 0.6566000 67989.1790000
0.0694000 0.5249000 49629.5380000
0.0694100 0.3936000 35838.7170000
0.0695700 0.7853000 114549.8900000
0.0696500 0.4576000 98738.2460000
0.0696500 0.5883000 329873.4100000
0.0696500 0.7191000 261413.0400000
0.0696500 0.8498000 159558.1200000
0.0696500 0.9152000 117229.7200000
0.0700900 0.8444000 314906.2900000
0.0701700 0.7138000 197770.0900000
0.0702400 0.5834000 320078.1700000
0.0703900 0.9056000 138449.8400000
0.0704400 0.6464000 150213.8800000
0.0705300 0.3228000 95652.1820000
0.0706800 0.1933000 54616.7940000
0.0707300 0.7725000 329300.1800000
0.0708300 0.5143000 104987.4500000
0.0708300 0.9642000 124802.2300000
0.0708600 0.8353000 136331.0300000
0.0708900 0.3854000 40833.3740000
0.0709700 0.5774000 89802.3530000
0.0710400 0.2564000 20419.4200000
0.0712000 0.7034000 57695.7540000
0.0712700 0.9583000 303986.6200000
0.0713300 0.7660000 66452.8400000
0.0713800 0.8931000 172319.7300000
0.0714600 0.4460000 28378.7170000
0.0715000 0.6368000 64833.0360000
0.0717700 0.8881000 205338.4500000
0.0718500 0.5070000 75269.5630000
0.0719900 0.8222000 81360.5620000
0.0720800 0.6949000 57887.5360000
0.0721800 0.5677000 35409.2510000
0.0721900 0.9460000 81720.7690000
0.0722100 0.7567000 150004.3100000
0.0723400 0.3147000 19108.0920000
0.0724600 0.9739000 154528.1400000
0.0725600 0.8157000 103262.9300000
0.0726900 0.1253000 13145.4460000
0.0727100 0.0000000 17721.4640000
0.0727800 0.8759000 159010.6900000
0.0728500 0.0625200 12428.0460000
0.0728500 1.0000000 2483412.5000000
0.0729200 0.4371000 49616.5410000
0.0729400 0.6242000 96010.9940000
0.0730600 0.6855000 112671.6100000
0.0731800 0.9333000 334748.4900000
0.0732000 0.3732000 48144.5890000
0.0732000 0.8086000 181223.8700000
0.0733200 0.7452000 120650.2700000
0.0733300 0.9934000 142706.6700000
0.0735100 0.1859000 17039.3280000
0.0736000 0.4949000 36935.5070000
0.0736400 0.2473000 29982.1950000
0.0736600 0.8654000 100069.0200000
0.0738100 0.5552000 35253.7940000
0.0738400 0.9250000 75487.6690000
0.0738800 0.6162000 166410.4800000
0.0741500 0.9824000 273027.6300000
0.0743700 0.6735000 42450.2760000
0.0744800 0.7336000 87452.2030000
0.0745400 0.3665000 67357.1180000
0.0745400 0.9163000 191787.8900000
0.0745600 0.3053000 43208.0380000
0.0745700 0.7937000 66594.8080000
0.0746800 0.4268000 70887.1890000
0.0746800 0.4878000 150681.5500000
0.0747000 0.8533000 103238.3200000
0.0747500 0.6091000 60084.1410000
0.0748100 0.6694000 165704.6100000
0.0752300 0.6052000 255465.6900000
0.0753100 0.7255000 88366.2150000
0.0753700 0.0604100 78088.4560000
0.0753700 0.1812000 93722.9330000
0.0753700 0.4833000 77618.5380000
0.0753700 0.6645000 252869.9500000
0.0753700 0.7854000 154287.6900000
0.0754200 0.4226000 66520.2670000
0.0754200 0.9659000 126924.7300000
0.0754300 0.1207000 93814.2670000
0.0755000 0.3015000 76865.9690000
0.0755000 0.5427000 62022.4000000
0.0755200 0.2412000 35827.7210000
0.0755700 0.9037000 77998.7790000
0.0756900 0.8422000 221557.5000000
0.0757800 0.3605000 112520.1400000
0.0761900 0.8367000 120574.1000000
0.0762500 0.7165000 107927.3300000
0.0762500 0.8956000 214265.3800000
0.0763800 0.9538000 75703.0670000
0.0764000 0.6556000 60215.5490000
0.0764100 0.7746000 105449.6800000
0.0764300 0.5957000 38533.8230000
0.0765400 0.5354000 39700.1790000
0.0766700 0.4157000 24978.4490000
0.0768800 0.3553000 21036.0490000
0.0769300 0.8286000 145663.3300000
0.0769500 0.4733000 50553.3790000
0.0770000 0.9461000 201849.3100000
0.0772400 0.2358000 22672.9430000
0.0772900 0.2946000 13087.6820000
0.0773600 0.8828000 56201.1790000
0.0773700 0.7650000 134362.2700000
0.0774000 1.0000000 6279205.2000000
0.0775800 0.0000000 10225.5580000
0.0775800 0.7042000 52073.4040000
0.0777100 0.6445000 48533.5840000
0.0777500 0.9370000 131442.8000000
0.0778000 0.1171000 14404.2150000
0.0778600 0.9942000 116066.6700000
0.0780200 0.5252000 65542.4510000
0.0780800 0.0583300 13045.3430000
0.0781000 0.1749000 10877.1480000
0.0781100 0.8743000 168661.4800000
0.0781700 0.4660000 31356.1000000
0.0781800 0.5824000 37279.5330000
0.0782300 0.8148000 71268.6540000
0.0784100 0.7549000 71955.9970000
0.0786000 0.9269000 109230.5100000
0.0786300 0.9844000 267192.2100000
0.0786600 0.8682000 71032.3460000
0.0787000 0.4050000 34402.3070000
0.0787300 0.6940000 61059.0250000
0.0788500 0.9734000 70178.0610000
0.0789300 0.3461000 20725.5150000
0.0789500 0.6344000 59819.6310000
0.0791700 0.2876000 73516.5580000
0.0791700 0.8052000 75130.9170000
0.0792100 0.5748000 31503.9870000
0.0794400 0.5158000 37743.6250000
0.0795800 0.7438000 98059.3690000
0.0796300 0.2287000 26212.8690000
0.0796500 0.6288000 105851.2200000
0.0796500 0.6860000 80223.8710000
0.0796500 0.8575000 79845.1050000
0.0797000 0.4570000 69084.9220000
0.0797100 0.9139000 95567.5120000
0.0799100 0.5698000 160439.5100000
0.0800400 0.9671000 200654.4100000
0.0801600 0.3408000 145497.3600000
0.0801600 0.5112000 179084.3300000
0.0801600 0.8519000 109655.8000000
0.0803400 0.7935000 67655.8740000
0.0804600 0.4527000 50473.1380000
0.0806200 0.3953000 13894.6130000
0.0806800 0.6208000 150801.7400000
0.0806800 0.9029000 315755.5600000
0.0807200 0.6768000 59067.7850000
0.0807400 0.8458000 138148.9200000
0.0807800 0.7327000 41296.9510000
0.0808100 0.5635000 96136.4510000
0.0808600 0.2815000 29334.6920000
0.0808600 0.9572000 83218.5740000
0.0810300 0.5057000 37645.2510000
0.0813400 0.6157000 33991.2250000
0.0813900 0.7832000 54207.2790000
0.0814100 0.2237000 16925.1380000
0.0814100 0.8948000 54833.2410000
0.0814300 0.1118000 9605.7333000
0.0817000 0.7245000 77999.1560000
0.0819000 0.3336000 23182.2150000
0.0819500 0.9445000 78463.5260000
0.0819500 1.0000000 1748285.6000000
0.0819900 0.8330000 68966.6640000
0.0820100 0.5552000 28200.9480000
0.0820700 0.4438000 27435.8330000
0.0821600 0.7759000 106224.7600000
0.0821800 0.6648000 39982.2300000
0.0823800 0.9948000 83930.9940000
0.0824200 0.8839000 70936.9100000
0.0825200 0.6069000 47135.9480000
0.0825500 0.0000000 8888.9103000
0.0826100 0.4960000 37629.9170000
0.0826800 0.0550800 7940.6256000
0.0827600 0.1651000 9426.1821000
0.0828300 0.7146000 72554.3460000
0.0828300 0.9344000 80457.7720000
0.0828800 0.8241000 56689.8710000
0.0829200 0.2746000 15640.9740000
0.0830200 0.7678000 110553.1700000
0.0830200 0.9140000 93594.3280000
0.0831100 0.3835000 18994.5330000
0.0832700 0.9842000 91001.7170000
0.0834300 0.5458000 28541.3210000
0.0835800 0.8716000 129784.8100000
0.0837000 0.3264000 25404.0760000
0.0837100 0.6527000 76964.5740000
0.0837800 0.4348000 29455.3310000
0.0838700 0.7057000 32575.1480000
0.0838800 0.2171000 22441.2660000
0.0838900 0.9226000 75040.8400000
0.0839700 0.1084000 23250.9480000
0.0839900 0.8131000 84242.7080000
0.0842000 0.9733000 71726.2030000
